totalBoy,totalGirl,totalCount,totalTeacherCon,totalTeacherReg,totalTeacherMale,totalTeacherFemale,schoolId,yearId,stateId,districtId,districtName,blockId,blockName,schoolName
53,62,115,0,2,0,2,2432865,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS KACHCHUNALA
87,124,211,0,10,8,2,2501975,11,110,2008,KISHANGANJ,20098,THAKURGANJ,UCHH MADHYAMIK VIDYALAY BARCHOUNDI
145,146,291,0,8,5,3,2454359,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,UMS ALHASNA PADAMPUR
153,176,329,0,6,5,1,2488895,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,MS TALWAR BANDHA
27,35,62,0,2,1,1,2450152,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,N.P.S TALBARI
37,55,92,0,3,2,1,2495268,11,110,2008,KISHANGANJ,20097,POTHIA,MADARSA ISLAMIA MOHAMMADIA MIRCHANI BASTI
9,11,20,0,6,3,3,2495410,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MADRASA MANAWARUL ISLAM MADRASATUL BANAT SINGHARI
25,25,50,0,5,2,3,2464893,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PS KADAM GACHHI
154,173,327,0,7,4,3,2501769,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UCHH MADHYAMIK VIDYALAY BARI JAN
93,149,242,0,7,4,3,2491102,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,UMS ALTABARI
223,277,500,0,13,5,8,2469597,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,MS TAPPU HAT
117,175,292,0,5,2,3,2487516,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,NPS TALIBTOLA LAXMIPUR
70,71,141,0,6,5,1,2438846,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARSA ISLAMIA MOHMADIA NIHAL BHAG TANTANGI
74,22,96,0,5,5,0,2424799,11,110,2008,KISHANGANJ,20095,KISHANGANJ,MADRASA MANZARE ISLAM
56,50,106,0,4,0,4,2442741,11,110,2008,KISHANGANJ,20095,KISHANGANJ,PS KAJLA MANI
89,237,326,0,8,5,3,2501950,11,110,2008,KISHANGANJ,20098,THAKURGANJ,UCHH MADHYAMIK VIDYALAY BEHBULDANGI
128,131,259,0,7,4,3,2467352,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS ALTABARI KHURD
245,377,622,0,17,8,9,2469771,11,110,2008,KISHANGANJ,20095,KISHANGANJ,MS TEOSA
52,65,117,0,3,2,1,2488482,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,NPS TALTOLA PALSA
61,49,110,0,5,5,0,2401826,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARSA ISLAMIA MOINUL ULOOM MUKHTAR-E-AAM DEORI
20,6,26,0,0,0,0,2504313,11,110,2008,KISHANGANJ,20098,THAKURGANJ,MADRASA MANZAR E ISLAM GEDRI
18,28,46,0,2,1,1,2478498,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PS KAKRAN
123,151,274,0,10,4,6,2502058,11,110,2008,KISHANGANJ,20095,KISHANGANJ,UCHH MADHYAMIK VIDYALAY BELWA KASHIPUR
160,143,303,0,7,4,3,2462995,11,110,2008,KISHANGANJ,20098,THAKURGANJ,U.M.S. AMALJHARI
177,214,391,1,18,6,13,2413610,11,110,2008,KISHANGANJ,20096,TERHA GACHH,MS TERHAGACHH
59,84,143,0,3,3,0,2437077,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,NPS TAMIJ TOLA DAHIBHAT JAGIR
1,1,2,0,5,4,1,2416554,11,110,2008,KISHANGANJ,20095,KISHANGANJ,MADARSA ISLAMIA NAYA TOLA
62,50,112,0,4,4,0,2493551,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MADRASA MAZIDUL ISLAM
103,85,188,0,6,1,5,2461992,11,110,2008,KISHANGANJ,20097,POTHIA,PS KALA KACCHU
105,91,196,0,10,4,6,2502276,11,110,2008,KISHANGANJ,20096,TERHA GACHH,UCHH MADHYAMIK VIDYALAY BENUGARH
169,191,360,0,8,3,5,2422987,11,110,2008,KISHANGANJ,20095,KISHANGANJ,UMS AMAL JHARI
282,537,819,0,15,9,6,2472071,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,"NATIONAL ACADEMY HIGH SCHOOL, GANGI HAT"
59,42,101,0,3,1,2,2427970,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,N.P.S TAPPU TOLA BIRNEA
9,14,23,0,10,9,1,2431700,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MADARSA ISLAMIA ROSHAN ZAMEER
49,47,96,0,6,6,0,2493545,11,110,2008,KISHANGANJ,20098,THAKURGANJ,MADRASA MOHAMMADIA ISLAMIA NANDHARA
45,51,96,0,3,1,2,2491836,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PS KALI BARI
133,132,265,0,6,3,3,2498238,11,110,2008,KISHANGANJ,20098,THAKURGANJ,"UCHH MADHYAMIK VIDYALAY, BESARBATI"
106,135,241,0,8,5,3,2479954,11,110,2008,KISHANGANJ,20096,TERHA GACHH,UMS AMAT TOLI
489,678,1167,0,14,11,3,2438355,11,110,2008,KISHANGANJ,20095,KISHANGANJ,NATIONAL HIGH SCHOOL
32,33,65,0,2,1,1,2491098,11,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS TEDHARI GAON
120,112,232,0,3,3,0,2429097,11,110,2008,KISHANGANJ,20098,THAKURGANJ,MADARSA ISLAMIA SAMSUL ULOOM NICHITPUR
48,58,106,0,5,5,0,2493540,11,110,2008,KISHANGANJ,20097,POTHIA,MADRASA MOINIA AMIRE BAHAR SAHABIA MANAIRGANJ NOOR NAGAR
34,40,74,0,4,1,3,2487517,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PS KAMALPUR
82,104,186,0,9,6,3,2498274,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,"UCHH MADHYAMIK VIDYALAY, BHAGAL"
67,65,132,0,3,2,1,2461994,11,110,2008,KISHANGANJ,20097,POTHIA,UMS   AMBARI
100,94,194,10,5,3,12,2416384,11,110,2008,KISHANGANJ,20095,KISHANGANJ,NAV SHANTI NIKETAN PUBLIC SCHOOL
52,36,88,0,6,6,0,2484470,11,110,2008,KISHANGANJ,20097,POTHIA,MADARSA ISLAMIA SANAUL ULOOM MOULANAPARA
21,19,40,0,1,1,0,2468857,11,110,2008,KISHANGANJ,20098,THAKURGANJ,N.P.S.TEDHARI SATGOP TOLA
51,39,90,0,5,4,1,2454541,11,110,2008,KISHANGANJ,20095,KISHANGANJ,MADRASA NAWAZIA BELWA KASHIBARI
44,30,74,0,4,1,3,2447863,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PS KAMALPUR PURAB TOLA
119,102,221,0,10,7,3,2501657,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,UCHH MADHYAMIK VIDYALAY BHATA BARI
87,77,164,0,6,5,1,2479224,11,110,2008,KISHANGANJ,20096,TERHA GACHH,UMS AMBARI SUHIA
24,15,39,0,6,5,1,2505864,11,110,2008,KISHANGANJ,20098,THAKURGANJ,NEW ERA ENGLISH ACADEMY
17,24,41,0,2,2,0,2434349,11,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS TELIBASTI
45,37,82,0,6,5,1,2461239,11,110,2008,KISHANGANJ,20097,POTHIA,MADARSA ISLAMIA SAYEEDIA FIROZABAD
23,36,59,0,4,2,2,2458701,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADRASA NOORSABA HIL ISLAM GARGAON
94,89,183,0,5,0,5,2457269,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS KAMAR KHOD
110,153,263,0,9,4,5,2502265,11,110,2008,KISHANGANJ,20097,POTHIA,UCHH MADHYAMIK VIDYALAY BHELAGACHHI BIRPUR
93,120,213,0,4,1,3,2433628,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS ANARKALI KAJALA MANI
102,41,143,9,1,5,5,2403828,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,NEW HOPE  SCHOOL
41,41,82,0,1,1,0,2461529,11,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS TELIBHITA(PURAB)
98,112,210,0,6,6,0,2403412,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,MADARSA  ISLAMIA SINGHI MARI MILIK
86,80,166,0,6,5,1,2495382,11,110,2008,KISHANGANJ,20098,THAKURGANJ,MADRASA NOORUL HUDA
62,100,162,0,5,2,3,2424712,11,110,2008,KISHANGANJ,20095,KISHANGANJ,PS KAMARMANI
