udiseschCode,yearId,yearDesc,stateName,districtName,blockName,villWardName,clusterName,assemblyCd,panDesc,cityDesc,municipalityDesc,assemblyCdDesc,parlCdDesc,schoolName,schLocRU,schLocDesc,schCategoryId,schCategoryDesc,schType,schTypeDesc,lowClass,highClass,schMgmtId,schMgmtCenterId,schMgmtStateDesc,schMgmtNationalDesc,schoolStatus,schStatusName,pincode,tchReg,tchCont,tchPart,tchCat1,tchCat2,tchCat3,tchCat4,tchCat5,tchCat6,tchCat7,tchCat8,tchCat10,tchCat11,totMale,totFemale,totNr,totalTeacher,tchAbove55,totTchBelowGraduate,totTchGraduateAbove,totTchPgraduateAbove,compM,compF,compT,tchInvlovedNonTchAssign,tchRecvdServiceTrng,partTimeInstructor,ftbPr,transptPr,uniformPr,ftbUpr,transptUpr,uniformUpr,totalGrant,totalExpediture,profQual1,profQual2,profQual3,profQual4,profQual5,profQual6,profQual7,profQual8,profQual10,profQual11,profQual12,lgdurbanlocalbodyId,lgdurbanlocalbodyName,lgdwardId,lgdwardName,lgdvillageId,lgdvillName,lgdpanchayatId,lgdvillpanchayatName,lgdblockId,lgdblockName,schoolId,stateId,districtId,blockId
******08401,9,2022-23,Bihar,KISHANGANJ,BAHADURGANJ,KHARSEL,M.S.KHODAGANJ,1008002,NA,NA,NA,,,P S KHARSEL,1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,855108.0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,3,0,0,0,,,,,,,-1,,,,2488904,110,2008,20100
******06101,9,2022-23,Bihar,KISHANGANJ,THAKURGANJ,JIRAN GACCH,UMS BAHADURPUR,1008003,NA,NA,NA,,,UMS JIRAN GACHH,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855116.0,7,0,0,0,5,2,0,0,0,0,0,0,0,1,6,0,7,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0,0,5,0,0,0,,,,,,,-1,,,,2483232,110,2008,20098
******16201,9,2022-23,Bihar,KISHANGANJ,KOCHADHAMAN,KHATYATOLI,M S KAIRIBIRPUR,1008004,NA,NA,NA,,,PS KHATYATOLI,1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,855101.0,3,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,,,,,,,-1,,,,2455827,110,2008,20101
******15601,9,2022-23,Bihar,KISHANGANJ,KOCHADHAMAN,JIWANPUR,M S SINGHARI HAT,1008004,NA,NA,NA,,,UMS JIWANPUR,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855115.0,5,0,0,0,1,4,0,0,0,0,0,0,0,4,1,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2444716,110,2008,20101
******03410,9,2022-23,Bihar,KISHANGANJ,DIGHAL BANK,EKRA,U M S JARJHULLA,1008003,NA,NA,NA,,,"UCHH MADHYAMIK VIDYALAY, EKRA",1,1-Rural,10,Secondary with Higher Secondary,3,3-Co-educational,9,12,1,1,Department of Education,Department of Education,0,Operational,855108.0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2498234,110,2008,20099
******17501,9,2022-23,Bihar,KISHANGANJ,POTHIA,KHEKIBASTI,U.M.S BUDHRA,1008001,NA,NA,NA,,,PS  KHEKI BASTI,1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,855117.0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2407192,110,2008,20097
******03101,9,2022-23,Bihar,KISHANGANJ,KISHANGANJ,WARD NO. 33,S.G.SING.M.S.KISHANGANJ,1008001,NA,NA,NA,,,U.M.S. JULJULI,2,2-Urban,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855107.0,7,0,0,1,4,2,0,0,0,0,0,0,0,7,0,0,7,0,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,1,0,0,1,0,3,1,0,0,,,,,,,-1,,,,2420864,110,2008,20095
******13001,9,2022-23,Bihar,KISHANGANJ,KOCHADHAMAN,KHOPIYAPAR MOJABARI,U M S MOUJABARI,1008004,NA,NA,NA,,,PS KHOPIYAPAR,1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,855107.0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,0,0,0,0,0,0,0,2,0,0,,,,,,,-1,,,,2421495,110,2008,20101
******00202,9,2022-23,Bihar,KISHANGANJ,BAHADURGANJ,DAH GAON,M.S.DHIMTOLA,1008002,NA,NA,NA,,,U M S JURAIL DAHGAON,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855101.0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2453695,110,2008,20100
******10602,9,2022-23,Bihar,KISHANGANJ,THAKURGANJ,PATHARIA,U.M.S KUKURBAGHI,1008003,NA,NA,NA,,,PS KHOUSIDANGI (BEP),1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,855116.0,3,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2408964,110,2008,20098
